URL,Pageviews,Unique_Pageviews,Avg_Time_on_Page,Entrances,Bounce_Rate,%_Exit,OBJECTID
/opendata.dc.gov/,"426,483","167,594",0:00:31,"97,865",13.50%,10.05%,0
/opendata.dc.gov/datasets/residential-parking-permit-blocks,"32,604","18,550",0:01:03,"1,576",20.74%,15.77%,1
/opendata.dc.gov/datasets?sort_by=name,"14,931","8,116",0:00:41,769,4.22%,8.32%,2
/opendata.dc.gov/datasets?keyword=transportation,"13,416","7,135",0:00:55,346,5.91%,9.90%,3
/opendata.dc.gov/datasets?keyword=property,"11,130","5,829",0:00:49,166,5.92%,7.86%,4
/opendata.dc.gov/datasets?keyword=demographic,"10,358","5,454",0:00:39,164,8.70%,7.50%,5
/opendata.dc.gov/datasets?keyword=education,"10,253","5,395",0:00:33,198,11.40%,7.08%,6
/opendata.dc.gov/404,"10,085","5,152",0:00:39,"3,336",25.30%,21.20%,7
/opendata.dc.gov/datasets,"9,218","6,590",0:00:36,721,14.66%,10.18%,8
/opendata.dc.gov/datasets?keyword=political,"8,151","4,528",0:00:56,156,11.79%,10.01%,9
/opendata.dc.gov/datasets?keyword=environment,"7,734","4,117",0:00:53,140,7.03%,8.75%,10
/opendata.dc.gov/datasets?keyword=economic,"6,433","3,551",0:00:52,93,10.18%,7.93%,11
"/opendata.dc.gov/datasets/b761e3f584344ae1be74e83d120b940b_19?geometry=-77.314,38.833,-76.743,38.913&embed=true","5,973","5,259",0:09:10,"5,037",11.11%,83.02%,12
/opendata.dc.gov/datasets?sort_by=relevance,"5,636","2,816",0:00:04,"2,718",0.88%,1.44%,13
/opendata.dc.gov/datasets?keyword=health,"5,524","3,033",0:00:26,80,11.67%,5.81%,14
/opendata.dc.gov/datasets?keyword=imagery,"5,492","2,434",0:00:17,211,4.05%,4.59%,15
/opendata.dc.gov/datasets?keyword=cultural,"5,454","3,041",0:00:30,68,11.11%,5.87%,16
/opendata.dc.gov/datasets?keyword=planning,"5,282","2,905",0:00:41,92,6.62%,6.91%,17
/opendata.dc.gov/datasets?keyword=public safety,"5,006","2,217",0:00:04,50,0.00%,0.76%,18
/opendata.dc.gov/datasets?keyword=location,"4,916","2,746",0:00:27,72,16.00%,5.92%,19
/opendata.dc.gov/datasets?keyword=structure,"4,727","2,563",0:00:44,69,8.18%,6.62%,20
/opendata.dc.gov/datasets/residential-parking-permit-blocks/data,"4,065","3,074",0:01:47,30,26.67%,19.26%,21
/opendata.dc.gov/datasets?keyword=elevation,"3,955","2,141",0:00:52,79,12.17%,9.05%,22
/opendata.dc.gov/datasets?keyword=Financials&sort_by=relevance,"3,751","1,971",0:00:27,63,15.22%,5.33%,23
"/opendata.dc.gov/datasets/bda20763840448b58f8383bae800a843_26?uiTab=table&filterByExtent=true&where=OFFENSE+like+'%HOMICIDE%'&geometry=-77.86,38.831,-76.212,39.151","3,673","1,800",0:00:11,"1,249",2.23%,6.97%,24
/opendata.dc.gov/datasets?keyword=utility,"3,652","1,986",0:00:36,43,11.76%,7.06%,25
/opendata.dc.gov/datasets?keyword=historic,"3,514","1,970",0:00:31,54,6.67%,6.23%,26
/opendata.dc.gov/datasets?q=transportation,"3,362","2,283",0:00:46,84,14.15%,9.82%,27
/opendata.dc.gov/datasets/crime-incidents-in-2017/data,"3,316","2,291",0:02:10,"1,512",35.66%,47.59%,28
/opendata.dc.gov/datasets?keyword=Performance&sort_by=relevance,"3,057","1,768",0:00:15,55,13.85%,4.51%,29
/opendata.dc.gov/datasets?q=property,"2,993","1,910",0:00:48,70,14.61%,8.12%,30
/opendata.dc.gov/datasets?keyword=safety,"2,960","1,966",0:00:53,88,8.65%,12.23%,31
/opendata.dc.gov/datasets?keyword=recreation,"2,938","1,655",0:00:40,32,9.84%,6.71%,32
/opendata.dc.gov/datasets?q=demographic,"2,421","1,535",0:00:44,51,17.74%,8.26%,33
/opendata.dc.gov/datasets/f43fc2b0ad40448aae77a08d4ec3ccf5_2?uiTab=table,"2,338","1,042",0:00:15,775,3.02%,6.12%,34
/opendata.dc.gov/datasets?q=education,"2,250","1,507",0:00:40,32,5.88%,8.89%,35
/opendata.dc.gov/datasets/07e3b785872a4e4b89b183c171b2f5bc_7,"2,234","1,156",0:00:48,761,7.52%,15.00%,36
/opendata.dc.gov/datasets?keyword=dec2015,"1,922",867,0:00:30,79,0.00%,5.98%,37
/opendata.dc.gov/datasets/f6c703ebe2534fc3800609a07bad8f5b_17,"1,917","1,004",0:00:33,546,13.52%,12.05%,38
/opendata.dc.gov/pages/dc-from-above,"1,899","1,013",0:01:36,183,14.21%,26.80%,39
/opendata.dc.gov/datasets?keyword=public service,"1,885",875,0:00:02,20,0.00%,0.37%,40
/opendata.dc.gov/datasets?q=economic,"1,828","1,188",0:00:42,46,15.79%,7.71%,41
/opendata.dc.gov/datasets/1d7c9d0e3aac49c1aa88d377a3bae430_4,"1,814",967,0:00:48,611,12.86%,16.32%,42
/opendata.dc.gov/datasets?q=crime,"1,765","1,137",0:00:29,89,14.49%,5.10%,43
/opendata.dc.gov/datasets/crime-incidents-in-2017,"1,727","1,285",0:01:47,153,17.79%,21.13%,44
/opendata.dc.gov/datasets/6cb6520725b0489d9a209a337818fad1_90?embed=true,"1,716","1,183",0:01:45,2,33.33%,29.37%,45
/opendata.dc.gov/datasets?q=health,"1,699","1,093",0:00:28,35,18.60%,6.77%,46
/opendata.dc.gov/datasets?q=public safety,"1,677","1,001",0:00:23,26,2.94%,3.76%,47
/opendata.dc.gov/datasets/3f28bc3ad77f49079efee0ac05d8464c_0,"1,671",904,0:00:43,625,15.09%,18.37%,48
/opendata.dc.gov/datasets/a657b34942564aa8b06f293cb0934cbd_1,"1,659",845,0:01:01,357,8.57%,11.81%,49
/opendata.dc.gov/datasets/95254fae17bc4792bd47b53f71c2e503_19,"1,611",745,0:00:19,411,2.08%,6.08%,50
/opendata.dc.gov/datasets?q=environment,"1,569","1,093",0:00:37,23,16.67%,8.41%,51
/opendata.dc.gov/datasets/bda20763840448b58f8383bae800a843_26,"1,562",898,0:00:40,358,9.23%,12.23%,52
/opendata.dc.gov/datasets/adbb63799c9944ed9ae3cf82bd8f2fd5_3,"1,560",919,0:01:19,453,17.62%,20.06%,53
/opendata.dc.gov/datasets/crashes-in-dc,"1,439",962,0:02:12,276,20.53%,27.59%,54
/opendata.dc.gov/datasets?q=planning,"1,418",948,0:00:37,14,15.38%,8.39%,55
/opendata.dc.gov/pages/connect-web-services,"1,406",802,0:01:52,94,42.70%,22.69%,56
/opendata.dc.gov/datasets/residential-parking-permit-blocks/geoservice,"1,404","1,107",0:00:31,10,40.00%,6.98%,57
/opendata.dc.gov/datasets/building-footprints,"1,385","1,092",0:01:51,307,20.83%,27.08%,58
/opendata.dc.gov/datasets?keyword=public,"1,367",986,0:01:21,23,30.00%,12.51%,59
/opendata.dc.gov/datasets/c5fb3fbe4c694a59a6eef7bf5f8bc49a_25,"1,364",655,0:00:48,281,4.45%,10.56%,60
/opendata.dc.gov/datasets?q=political,"1,360",968,0:00:53,34,9.52%,11.99%,61
/opendata.dc.gov/datasets/neighborhood-clusters,"1,248",906,0:02:08,327,21.80%,28.29%,62
/opendata.dc.gov/datasets/af1c2b79ad6d4f8ab2da5a650912b06b_1?uiTab=table,"1,236",592,0:00:19,369,3.00%,4.94%,63
/opendata.dc.gov/datasets/1f6708b1f3774306bef2fa81e612a725_40,"1,227",621,0:00:54,194,7.00%,10.19%,64
/opendata.dc.gov/datasets?q=cultural,"1,198",806,0:00:33,13,0.00%,7.10%,65
/opendata.dc.gov/datasets/0ef47379cbae44e88267c01eaec2ff6e_31,"1,172",664,0:01:12,241,6.82%,18.26%,66
/opendata.dc.gov/datasets/3fbeecb7e38846a6a5c3abff2ec71b8b_1,"1,145",692,0:00:44,429,15.75%,23.49%,67
"/opendata.dc.gov/datasets/bda20763840448b58f8383bae800a843_26?uiTab=table&filterByExtent=true&where=OFFENSE+like+'%HOMICIDE%'&geometry=-77.86,38.735,-76.212,39.055","1,089",547,0:00:12,318,3.11%,7.71%,68
/opendata.dc.gov/datasets/census-tracts-in-2010,"1,089",793,0:02:49,40,17.78%,18.27%,69
/opendata.dc.gov/datasets/capital-bike-share-locations,"1,052",782,0:02:35,340,22.91%,34.70%,70
/opendata.dc.gov/datasets/aa514416aaf74fdc94748f1e56e7cc8a_0,"1,020",570,0:00:56,301,10.97%,15.29%,71
/opendata.dc.gov/pages/using-apis,"1,019",671,0:01:45,117,43.97%,27.38%,72
/opendata.dc.gov/datasets?q=utility,986,608,0:00:42,22,39.13%,6.49%,73
/opendata.dc.gov/datasets?keyword=june2015,971,896,0:02:06,49,54.00%,26.67%,74
/opendata.dc.gov/datasets/02923e4697804406b9ee3268a160db99_11,967,562,0:00:33,326,13.68%,19.86%,75
/opendata.dc.gov/datasets?q=structure,963,655,0:00:54,12,0.00%,7.17%,76
/opendata.dc.gov/datasets?q=metro,948,518,0:00:20,59,2.00%,3.27%,77
/opendata.dc.gov/datasets/ward-from-2012,941,738,0:03:12,38,10.20%,33.37%,78
/opendata.dc.gov/datasets/public-schools,936,707,0:02:05,13,15.79%,13.57%,79
/opendata.dc.gov/datasets/6cb6520725b0489d9a209a337818fad1_90,930,554,0:00:51,212,16.23%,16.45%,80
/opendata.dc.gov/datasets/a973c2c7b7c14a918859f3e38bdffdd2_42,922,490,0:00:34,103,5.88%,8.46%,81
/opendata.dc.gov/datasets/washington-dc-boundary,922,771,0:02:51,21,32.00%,23.97%,82
/opendata.dc.gov/datasets/urban-forestry-street-trees,897,637,0:01:39,81,24.47%,20.62%,83
/opendata.dc.gov/datasets/4ac321b2d409438ebd76a6569ad94034_5,894,475,0:00:47,98,18.81%,8.17%,84
/opendata.dc.gov/datasets/a3aefd57db394fd68d739556253dc44d_18,893,489,0:00:48,198,10.05%,11.87%,85
/opendata.dc.gov/datasets?page=2,889,692,0:00:29,11,9.09%,4.95%,86
/opendata.dc.gov/datasets?q=recreation,889,549,0:00:32,16,13.64%,5.29%,87
